video_id,path,duration
2000,/videos/2020-02-01/doodoo-dudism.mp4,24
2001,/root/bucket3/facings-elapses.mp4,28
2002,/videos/2020-02-01/operosenesses-kiwifruit.mp4,7
2003,/root/bucket3/deltiologist-motley.mp4,18
2004,/videos/2020-02-04/scoreboards-preselections.mp4,41
2005,/root/bucket3/bating-hagdon.mp4,37
2006,/root/bucket2/interdependently-dollarfishes.mp4,45
2007,/videos/2020-02-01/pertinency-strontia.mp4,21
2008,/root/bucket3/illegible-viameter.mp4,44
2009,/videos/2020-02-01/discontinuities-reoiling.mp4,45
2010,/root/bucket3/cervixes-alibied.mp4,28
2011,/root/bucket4/maraudings-microcelebrity.mp4,30
2012,/root/bucket4/avens-electroencephalographic.mp4,51
2013,/root/bucket1/routed-momzers.mp4,29
2014,/root/bucket2/stottering-reusability.mp4,36
2015,/videos/2020-02-01/anopsia-sentimentalism.mp4,29
2016,/videos/2020-02-02/imbower-brickclay.mp4,25
2017,/videos/2020-02-04/toluate-cardialgic.mp4,9
2018,/root/bucket3/slipnooses-hissers.mp4,30
2019,/root/bucket5/whimpering-zombified.mp4,27
2020,/root/bucket2/extensionists-throaty.mp4,7
2021,/videos/2020-02-03/tidiest-snowshoeing.mp4,27
2022,/root/bucket2/discontinuities-reoiling.mp4,13
2023,/root/bucket2/tretinoins-fisheries.mp4,44
2024,/media/praetorships-buggering.mp4,27
2025,/root/bucket1/county-postpuberty.mp4,47
2026,/media/augmenter-slaveholders.mp4,27
2027,/videos/2020-02-02/cervixes-alibied.mp4,16
2028,/videos/2020-02-03/operagoers-banderilleros.mp4,44
2029,/media/cariousnesses-superqualities.mp4,34
2030,/videos/2020-02-01/deadlocking-misdividing.mp4,26
2031,/videos/2020-02-01/frush-beadman.mp4,11
2032,/media/ascertain-pleas.mp4,9
2033,/videos/2020-02-03/propylaeum-consulters.mp4,56
2034,/videos/2020-02-01/contrives-adjuror.mp4,58
2035,/videos/2020-02-02/portrayed-aldermanlike.mp4,7
2036,/videos/2020-02-02/sanitising-rechanging.mp4,44
2037,/root/bucket4/indew-sultana.mp4,22
2038,/root/bucket5/vermiculated-glitterier.mp4,11
2039,/videos/2020-02-03/astarboard-randems.mp4,57
2040,/videos/2020-02-04/screens-ippon.mp4,12
2041,/root/bucket4/reembark-avoidance.mp4,57
2042,/root/bucket5/bilbo-cachinnates.mp4,29
2043,/root/bucket4/instituted-weathercloths.mp4,51
2044,/videos/2020-02-02/moldier-subtilizations.mp4,35
2045,/videos/2020-02-04/hazarding-undersize.mp4,49
2046,/videos/2020-02-03/turcopole-galravaging.mp4,27
2047,/videos/2020-02-03/myrmecochory-sombreness.mp4,36
2048,/root/bucket2/multiday-ungot.mp4,55
2049,/root/bucket4/miniaturizes-beacon.mp4,41
2050,/videos/2020-02-01/electrofishings-copylefts.mp4,50
2051,/videos/2020-02-03/guslar-lithiums.mp4,51
2052,/root/bucket1/wayless-belt.mp4,23
2053,/videos/2020-02-03/brers-resends.mp4,52
2054,/media/achromatization-saffian.mp4,9
2055,/root/bucket5/aerodart-porcelainise.mp4,42
2056,/root/bucket4/arachnophobes-whangam.mp4,31
2057,/root/bucket2/secrete-reptiloid.mp4,49
2058,/root/bucket2/poitins-conservers.mp4,38
2059,/videos/2020-02-01/incommutability-chromed.mp4,7
2060,/root/bucket4/subnets-wartweed.mp4,10
2061,/videos/2020-02-03/underkeeper-condors.mp4,15
2062,/videos/2020-02-04/deterge-unbloody.mp4,32
2063,/root/bucket4/joggling-destructo.mp4,18
2064,/videos/2020-02-04/conspirers-physiques.mp4,23
2065,/media/shriveled-enervated.mp4,49
2066,/root/bucket2/cums-blackleads.mp4,60
2067,/root/bucket2/heil-gropers.mp4,11
2068,/videos/2020-02-03/breachers-roentgenograms.mp4,58
2069,/root/bucket1/lonelier-disagreeables.mp4,52
2070,/videos/2020-02-04/abandonment-distinctness.mp4,10
2071,/videos/2020-02-04/windborne-disgowned.mp4,5
2072,/root/bucket5/payfone-misshapers.mp4,39
2073,/videos/2020-02-03/intensatives-flammabilities.mp4,6
2074,/videos/2020-02-02/instituted-weathercloths.mp4,24
2075,/videos/2020-02-02/enfoldment-bobolink.mp4,46
2076,/root/bucket5/ohm-snogs.mp4,47
2077,/videos/2020-02-01/hikoiing-parasitologist.mp4,21
2078,/root/bucket4/cottony-chaffiest.mp4,37
2079,/root/bucket2/clementine-microflora.mp4,6
2080,/videos/2020-02-01/orielled-cosign.mp4,53
2081,/media/sulfureted-polymorphically.mp4,53
2082,/root/bucket2/stigmatiser-preplaces.mp4,58
2083,/videos/2020-02-01/motorbiked-tyler.mp4,48
2084,/root/bucket3/alexine-dapperer.mp4,46
2085,/root/bucket3/archiepiscopate-bluegown.mp4,10
2086,/root/bucket5/amooving-colotomy.mp4,49
2087,/root/bucket5/subordinal-blissing.mp4,29
2088,/videos/2020-02-03/buckayro-halloes.mp4,46
2089,/root/bucket2/counteradaptation-gamahuched.mp4,13
2090,/root/bucket5/hemophilias-knots.mp4,10
2091,/videos/2020-02-02/vagrancies-badinaged.mp4,48
2092,/videos/2020-02-03/cheateries-bacchanalians.mp4,7
2093,/media/roue-mallanders.mp4,20
2094,/root/bucket4/aerotactic-bypass.mp4,33
2095,/media/barging-recreancies.mp4,42
2096,/root/bucket3/hemitropous-semiofficially.mp4,41
2097,/root/bucket5/schnozzle-foes.mp4,56
2098,/root/bucket3/conjurer-outrocking.mp4,28
2099,/root/bucket4/perscrutations-kenosises.mp4,59
185,/videos/2020-02-04/chats-conditionate-short.mp4,29
86,/root/bucket3/chats-conditionate-long.mp4,28
1724,/videos/2020-02-03/isomerizing-louma-short.mp4,10
1007,/videos/2020-02-01/isomerizing-louma-long.mp4,50
1229,/media/tipcat-preorder-short.mp4,28
1890,/root/bucket5/tipcat-preorder-long.mp4,58
435,/videos/2020-02-03/incipient-mumpishly-short.mp4,11
59,/videos/2020-02-04/incipient-mumpishly-long.mp4,25
1596,/videos/2020-02-01/xylorimbas-drosophilas-short.mp4,13
1217,/videos/2020-02-04/xylorimbas-drosophilas-long.mp4,29
1695,/root/bucket3/disloyalties-modulates-short.mp4,24
535,/root/bucket1/disloyalties-modulates-long.mp4,50
1252,/media/scoreboards-preselections-short.mp4,10
484,/videos/2020-02-01/scoreboards-preselections-long.mp4,41
1481,/videos/2020-02-01/tiptop-stummel-short.mp4,11
45,/videos/2020-02-04/tiptop-stummel-long.mp4,26
1587,/root/bucket3/also-subovate-short.mp4,25
508,/media/also-subovate-long.mp4,58
704,/media/stimy-cathodically-short.mp4,30
1316,/root/bucket4/stimy-cathodically-long.mp4,59
196,/videos/2020-02-01/basher-jarping-short.mp4,12
1531,/root/bucket2/basher-jarping-long.mp4,44
1838,/videos/2020-02-04/nonresident-scrofulously-short.mp4,8
269,/root/bucket2/nonresident-scrofulously-long.mp4,48
240,/videos/2020-02-04/reembark-avoidance-short.mp4,17
208,/root/bucket1/reembark-avoidance-long.mp4,46
1140,/media/electrophysiologically-toothless-short.mp4,15
1515,/media/electrophysiologically-toothless-long.mp4,44
1837,/videos/2020-02-04/salmagundi-excommunications-short.mp4,15
717,/videos/2020-02-04/salmagundi-excommunications-long.mp4,33
1171,/videos/2020-02-04/elasticness-bandager-short.mp4,23
1988,/root/bucket1/elasticness-bandager-long.mp4,42
1201,/root/bucket3/carboxylases-faint-short.mp4,23
783,/root/bucket3/carboxylases-faint-long.mp4,45
908,/videos/2020-02-03/redshirted-deflexional-short.mp4,8
414,/root/bucket5/redshirted-deflexional-long.mp4,56
1009,/root/bucket5/tarpon-hamartiology-short.mp4,10
1535,/root/bucket5/tarpon-hamartiology-long.mp4,59
215,/root/bucket4/praetorships-buggering-short.mp4,9
610,/root/bucket2/praetorships-buggering-long.mp4,37
1927,/videos/2020-02-03/lurch-galivant-short.mp4,8
149,/videos/2020-02-03/lurch-galivant-long.mp4,54
930,/root/bucket3/deflowering-insincerities-short.mp4,19
1219,/root/bucket2/deflowering-insincerities-long.mp4,45
928,/root/bucket4/bibliothecae-blackjack-short.mp4,14
530,/root/bucket5/bibliothecae-blackjack-long.mp4,44
1248,/videos/2020-02-03/prioritises-macromolecular-short.mp4,29
366,/root/bucket5/prioritises-macromolecular-long.mp4,32
242,/videos/2020-02-03/moleskin-depuratives-short.mp4,9
34,/videos/2020-02-04/moleskin-depuratives-long.mp4,40
1866,/root/bucket2/liquidating-set-short.mp4,17
1717,/root/bucket5/liquidating-set-long.mp4,40
773,/root/bucket2/orchestraters-septentrional-short.mp4,14
1648,/root/bucket3/orchestraters-septentrional-long.mp4,45
1228,/videos/2020-02-01/retimed-stelleridan-short.mp4,23
285,/root/bucket2/retimed-stelleridan-long.mp4,48
984,/videos/2020-02-03/accended-marooned-short.mp4,19
1051,/root/bucket4/accended-marooned-long.mp4,37
1780,/root/bucket2/alexine-dapperer-short.mp4,24
760,/root/bucket3/alexine-dapperer-long.mp4,60
137,/root/bucket1/nationalisms-anecdotist-short.mp4,24
1283,/root/bucket3/nationalisms-anecdotist-long.mp4,34
1298,/root/bucket2/bichrome-confiseurs-short.mp4,23
1699,/videos/2020-02-01/bichrome-confiseurs-long.mp4,33
989,/media/italicisation-drinkablenesses-short.mp4,10
577,/root/bucket3/italicisation-drinkablenesses-long.mp4,43
1378,/videos/2020-02-01/diplozoic-pellack-short.mp4,11
888,/videos/2020-02-01/diplozoic-pellack-long.mp4,51
1588,/root/bucket4/disinvest-branders-short.mp4,29
689,/root/bucket1/disinvest-branders-long.mp4,56
1294,/root/bucket1/flashlamps-oligarchically-short.mp4,21
663,/videos/2020-02-01/flashlamps-oligarchically-long.mp4,58
106,/videos/2020-02-03/eyeshadows-disentrail-short.mp4,14
1668,/videos/2020-02-03/eyeshadows-disentrail-long.mp4,42
468,/root/bucket5/multitudes-bedticks-short.mp4,28
356,/videos/2020-02-03/multitudes-bedticks-long.mp4,55
1511,/media/counterarguments-bagpiping-short.mp4,20
1785,/videos/2020-02-02/counterarguments-bagpiping-long.mp4,30
90,/root/bucket3/inundated-gutsers-short.mp4,21
1307,/videos/2020-02-04/inundated-gutsers-long.mp4,47
1600,/root/bucket3/manoscopy-naifer-short.mp4,15
261,/videos/2020-02-04/manoscopy-naifer-long.mp4,29
164,/videos/2020-02-04/cantharidic-misfires-short.mp4,23
1385,/root/bucket5/cantharidic-misfires-long.mp4,29
1616,/videos/2020-02-01/supplicatory-dicrotism-short.mp4,30
191,/root/bucket3/supplicatory-dicrotism-long.mp4,25
134,/videos/2020-02-02/iconolater-numerate-short.mp4,27
828,/videos/2020-02-02/iconolater-numerate-long.mp4,28
441,/root/bucket3/librations-nichering-short.mp4,6
1954,/root/bucket4/librations-nichering-long.mp4,46
540,/videos/2020-02-02/fumarolic-manyfold-short.mp4,13
1609,/root/bucket5/fumarolic-manyfold-long.mp4,29
576,/root/bucket5/merceries-pyranoside-short.mp4,7
1002,/videos/2020-02-01/merceries-pyranoside-long.mp4,59
1591,/root/bucket4/convexity-pinchbugs-short.mp4,8
1510,/root/bucket1/convexity-pinchbugs-long.mp4,40
1033,/media/mollycoddles-gullying-short.mp4,11
150,/videos/2020-02-04/mollycoddles-gullying-long.mp4,51
93,/root/bucket3/faineances-panpsychists-short.mp4,18
1860,/root/bucket3/faineances-panpsychists-long.mp4,59
374,/root/bucket4/howling-oeuvre-short.mp4,8
1833,/root/bucket4/howling-oeuvre-long.mp4,42
858,/videos/2020-02-02/weightlessness-underestimations-short.mp4,8
1341,/root/bucket3/weightlessness-underestimations-long.mp4,45
1455,/videos/2020-02-03/microbiological-singing-short.mp4,21
1628,/root/bucket5/microbiological-singing-long.mp4,57
1312,/root/bucket3/medics-funner-short.mp4,30
66,/videos/2020-02-03/medics-funner-long.mp4,31
983,/videos/2020-02-01/finaliser-monohydric-short.mp4,15
1056,/videos/2020-02-03/finaliser-monohydric-long.mp4,60
1653,/root/bucket3/anopsia-sentimentalism-short.mp4,8
64,/videos/2020-02-04/anopsia-sentimentalism-long.mp4,37
682,/root/bucket4/voltaic-interpolates-short.mp4,21
283,/videos/2020-02-01/voltaic-interpolates-long.mp4,43
1882,/videos/2020-02-01/beadiest-chorusmasters-short.mp4,27
706,/root/bucket1/beadiest-chorusmasters-long.mp4,44
761,/root/bucket2/hules-belleters-short.mp4,17
1467,/root/bucket1/hules-belleters-long.mp4,54
88,/videos/2020-02-03/suppressed-gillnets-short.mp4,18
1417,/videos/2020-02-02/suppressed-gillnets-long.mp4,52
413,/videos/2020-02-03/tsardom-iodoforms-short.mp4,5
1194,/root/bucket1/tsardom-iodoforms-long.mp4,40
117,/root/bucket5/guslar-lithiums-short.mp4,28
800,/videos/2020-02-03/guslar-lithiums-long.mp4,53
